MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
12.5,30,0,50,13,24,43,50,1015.7,1012.5,22.7,25.9,No
22.8,30.2,0,35,13,13,79,68,1011.7,1009.5,25.6,29,Yes
13.7,21,0,41,20,26,56,46,1018.2,1018.1,15.6,18.7,No
5.3,13.6,6.2,30,7,15,96,85,1015.8,1015.3,7.5,11.8,No
8.2,20.8,0,33,11,20,92,86,1016.9,1012.3,11.5,16.9,Yes
11.1,23.1,0,44,6,33,60,54,1021.7,1019.2,20.1,21.1,No
0.6,12.2,0,28,13,11,99,81,1024.7,1020.8,6.6,10.7,No
11.4,21.3,2.4,67,33,41,48,47,998.8,1002,16,20.2,No
15.5,33.7,0,43,22,6,49,18,1025.3,1020.4,21.1,32.2,No
6.4,28.3,0,31,20,11,72,28,1020.6,1016,15.4,27.6,No
22.5,33.8,0,33,7,20,71,52,1012,1007.3,27.9,32.4,No
11.2,18,1,74,28,33,67,34,1014.2,1017,13.1,15.9,Yes
-1.2,13.2,0,39,17,17,58,37,1030.4,1026.5,6.2,12.6,No
0.8,15,0.2,39,15,13,67,48,1024.3,1019.3,9.9,14.9,No
7.7,32.1,0,44,0,19,41,16,1014.5,1012.4,20.7,29.8,No
4.8,18,0,33,13,13,74,44,1027,1024,11.3,17.2,No
16.1,20.2,0,41,17,15,63,57,1016.3,1015.2,18.7,19,Yes
1.3,14.1,1.6,46,13,17,84,53,1024.6,1021.6,5.1,13.6,No
2.3,10.8,0,30,15,15,78,70,1028.7,1025.6,6.4,9.5,No
11.6,20.7,3.8,22,13,7,88,60,1028.7,1026.7,14.6,19.3,No
9.1,27.7,0,22,4,7,65,49,1025.9,1021.3,17.7,27.3,No
4.5,14.7,0,35,15,11,76,60,1025.1,1020.3,8,12.7,No
2.7,18.6,0,19,0,2,99,40,1024,1020,9.2,18.2,No
16.4,22.9,3.2,20,4,7,83,81,1015.6,1014.5,20,22.5,No
5,15.1,0.4,24,2,15,64,46,1018.5,1016.3,11.3,14,No
4.7,22.6,1.2,30,9,7,72,36,1019.3,1015.8,11.9,20.9,No
11.7,22.6,0,31,7,15,64,49,1021.4,1019.5,16,21.8,No
11.1,33.7,0,37,11,26,30,22,1016.8,1013.1,26,32.2,No
14.1,15.7,30.6,48,22,20,92,75,1021.1,1020.6,14.1,15.7,Yes
10,18.5,0,41,20,24,67,56,1021.9,1018.1,14.9,16.9,Yes
2.2,20,0,28,6,17,81,44,1024.6,1022.4,12,19.3,No
8.7,20.1,0,35,19,22,64,38,1022.4,1020.8,12.3,18.8,No
4.3,22.4,0,31,6,15,51,32,1025.5,1019.6,16,21.8,Yes
12.1,19.2,0,46,17,17,40,51,1019.8,1017.4,17.5,18.1,No
19,40.2,0,46,30,15,39,12,1014.6,1011.1,23.7,38.1,No
16.1,29.1,0,31,4,17,69,42,1022.1,1019,21.2,27.6,No
9.2,16,0,30,0,0,100,100,1020.7,1018.7,13.3,11.5,Yes
1.6,13.9,6,26,11,17,81,55,1022.7,1021.8,6.4,13.2,No
10.4,28.9,0,41,4,22,74,37,1022.6,1020.1,16.6,28.3,No
14.6,20.3,0.6,54,20,28,66,64,1019.6,1015.3,18.1,19.8,Yes
22.4,29.1,14.8,56,17,43,84,97,1007.8,1007.2,27.1,25.6,Yes
-0.9,16.1,0,39,19,20,48,28,1030.2,1027.6,9.6,15.1,No
17,26.2,0,37,4,24,80,73,1020.4,1017.3,20.6,22.5,Yes
22.9,35.1,4.4,57,9,17,77,46,1006.9,1002.5,28,34.7,Yes
12.5,18.5,0,50,19,30,67,64,1026.6,1025.5,16.3,17.3,No
1.2,17.7,0,30,15,6,70,30,1028.8,1024.7,9,17.3,No
14.1,27,0,54,20,30,55,27,1014.4,1007.9,18.9,26.7,Yes
9,14,27.2,39,15,15,87,73,1019.1,1017.8,10.8,13,No
2.1,17.7,0,20,0,13,100,59,1030.6,1026.2,8.3,17.2,No
8,13.9,1.2,11,2,2,100,91,1022.6,1022.5,8.2,12.9,No
14,19.2,16.8,76,35,43,83,65,1018.5,1016.6,15.5,17.7,Yes
15.7,26.1,43,39,9,22,85,50,1020.1,1019.8,21.4,25.2,No
14.9,20.1,0,39,19,22,83,66,1022.2,1021.4,15.6,19.1,No
17.8,27.1,0,22,0,9,89,75,1020.9,1018.3,21.7,25.8,No
9.3,17.5,1.8,56,26,35,80,54,1022.6,1018,12.6,16.4,No
11.3,36.5,0,44,11,17,19,7,1016.1,1013.4,25.3,34.9,No
5.6,14.8,2.8,87,24,28,51,34,1002.2,1003.8,11.8,14,No
5.1,15.9,0.2,54,24,26,76,54,1020,1015.1,8.1,14.8,Yes
10.5,34.9,0,48,4,31,42,17,1020.2,1014.7,21,33.5,No
8.3,23.9,0,28,13,13,67,40,1021.7,1017.9,16,22.8,No
10.9,18.2,3.2,35,0,20,88,58,1022.9,1021.7,13.4,18.1,Yes
18.1,35.1,0.2,33,7,17,99,38,1018.7,1014.6,19.3,32.9,No
10.9,18.7,0,39,19,24,68,57,1021.2,1017.6,13.6,17.3,No
11.6,19.4,0,35,11,24,75,63,1026.3,1023.6,13.5,18.7,No
8,23.4,0,28,9,7,60,30,1023.3,1020,15.4,23.1,No
13.5,19.3,1.6,43,24,24,48,54,1022.3,1022.3,16.7,16.3,No
14.4,26.1,0,39,19,24,64,39,1019.2,1017.5,19,25.1,No
16.1,23.7,0,57,9,30,54,16,1016.3,1016,17.9,22.7,No
14.5,31.9,0,52,19,17,88,34,1014.2,1012.7,17.1,30.5,No
12.7,14.2,0.6,50,17,9,87,83,1010.3,1013,13.2,13.6,No
12.1,32.5,0,39,11,11,41,14,1014.3,1011.6,20.6,30.2,No
13.5,25.6,0,81,11,20,56,57,1010.7,1006.2,19.9,22.2,No
17.5,31.6,0.6,44,0,26,79,48,1016.3,1015.3,23.6,29.3,Yes
13.4,21.1,12.6,59,30,24,69,61,1026.7,1024.9,18.1,19.9,Yes
7,16.4,3.2,20,9,9,92,67,1019.8,1017.7,12.3,16,No
10.3,15.1,4.6,50,11,17,74,60,1018.6,1019,11.9,14.1,No
10.8,17.9,1.8,48,17,20,36,46,1019.3,1018.1,15.3,15.8,No
5,11.8,2.6,31,7,17,75,85,1019.3,1017.7,8,9.5,Yes
11.1,27,0,69,24,41,70,35,1011.6,1008.7,18.2,26.4,No
13.2,20.6,1.8,31,13,7,67,53,1023.2,1020.5,14,19.4,No
15.5,18.4,0,50,30,28,60,75,1014.8,1015.4,17.3,16.4,No
18.2,19.2,1.4,59,30,20,51,91,1022.6,1023,18.3,16.5,Yes
14.4,26,1.6,52,24,35,50,32,1007.6,1009.3,18.4,25.3,No
15,29,0,46,6,24,56,30,1012.1,1008.1,18.9,27.7,No
12,16,0,26,13,15,87,82,1019.9,1019.6,14.1,15,Yes
24.9,29,0,33,17,20,65,66,1013.4,1010.7,27,27.2,No
7.6,22.4,0,24,0,13,94,51,1030.6,1028.3,14.3,20.4,No
23.6,33.4,0,41,24,13,50,29,1014.9,1012.4,25.7,31.9,No
16.5,31.1,0,50,19,33,51,42,1008.9,1007.6,20.7,28.7,No
17.2,32.3,18.2,33,4,15,80,48,1010.9,1006.7,21.7,29.1,Yes
9.2,24.1,2.8,41,7,26,94,52,1009.9,1008.6,12.9,22.1,No
9.2,22.1,0,41,26,24,50,26,1024.8,1020.1,13.1,20.8,No
13.2,19.5,0.4,24,7,19,87,60,1018.9,1016.6,13.6,19,No
8.9,19,0,22,0,9,82,77,1022.6,1021.3,13.3,18.5,Yes
5.2,10.7,3.4,50,28,17,68,55,1005.5,1006.8,7.2,10.3,No
17.7,35,0,67,20,28,24,21,1011.8,1008,28.1,33.4,No
12.9,29.9,0,33,7,15,79,48,1009.8,1007.5,17.6,28.8,Yes
10.8,34.9,0,56,24,35,20,4,1015.1,1009.8,22.1,32.9,No
18,28.9,0,26,6,13,74,54,1021.7,1017.9,20.9,27.2,No
-4.2,15.4,0,19,0,13,82,51,1033.9,1030.6,5.4,14.5,No
10.6,27.3,0,28,13,15,93,56,1019.6,1016.1,16.5,27,No
7.4,26.2,0,48,13,26,69,28,1021.8,1020.2,13.2,24,No
17.7,26.9,12.6,35,15,20,93,59,1018.1,1014.7,19,26,Yes
16.7,21,2,41,11,19,78,82,1015.6,1014,18,18.9,Yes
1.7,20.4,0,22,4,9,81,36,1027.2,1024.1,9.5,19.9,No
21,30.6,0,28,6,17,60,52,1017.7,1014.6,27.7,29.2,No
14.9,31.5,0,30,13,13,67,25,1019.2,1016.2,19.2,30,No
7.2,9.9,5.6,35,6,11,100,100,996.5,998.4,7.7,9,Yes
16.6,37,0,44,7,22,36,18,1016.9,1012.6,27.1,36.2,No
12,23.8,2.2,41,2,15,92,57,1022.9,1019.4,14.7,22.4,No
9,12.7,1.8,37,15,20,91,89,1019.8,1022.4,11.1,11,No
7.9,14.8,5.6,22,13,9,82,64,1023.1,1021.2,11.6,14,No
17.8,23,0.2,30,19,20,64,69,1019.4,1016.5,20.8,21.7,No
12.2,19.9,0.2,39,17,9,60,59,1009.6,1006.1,15.2,19.7,Yes
16,35,0,41,15,19,37,8,1020.1,1016.9,22.6,33.5,No
8.8,19.7,0,28,17,7,68,56,1027.7,1024.9,12.6,18.5,No
12.4,25.2,0,39,9,22,49,45,1012.8,1010.1,19.5,23,No
4.5,18.4,0,28,15,9,67,33,1023.6,1021.4,11.8,17.4,No
3.8,21.1,0,22,4,2,86,43,1022.6,1018.1,11.6,20.1,No
11.8,17.6,0,44,24,26,68,76,1019.6,1017.7,12.4,14.5,Yes
1.8,14.2,0.8,31,0,17,88,63,1022.1,1020.1,6.7,13.6,No
8.8,11,1.2,54,26,31,78,71,1007.8,1013.1,9.3,8.2,Yes
9.3,20.2,11.8,31,17,15,69,49,1023.3,1022.3,13.2,19.1,No
15.5,22.6,0,39,9,20,69,46,1012.9,1011.8,16.4,21.6,No
17.8,36.9,0,67,6,7,87,32,1006.3,1002.3,21.5,35.7,Yes
8.8,15.8,0,30,7,17,100,67,1030.4,1027.2,9.8,15.4,No
25.1,35.4,12.4,35,13,11,76,86,1007.9,1003.3,28.6,35,Yes
12.1,16.4,0,43,15,19,60,64,1017.3,1019.7,13.4,15.4,No
13.5,22,0,50,28,11,61,92,1007.3,1008.3,20.7,17.9,Yes
20.2,39.1,0,44,13,20,19,13,1013.5,1009,32.3,37.6,No
19.1,25.2,0,33,22,20,81,74,1018.6,1016.7,22.1,23.7,No
10.7,18,0,41,15,20,75,65,1023.3,1019.5,12.7,16.7,No
23,30.2,0,31,20,24,62,54,1014.2,1010.6,27.2,28.2,No
16.5,31.9,0,56,31,9,64,22,1015.3,1012.4,18.2,30.5,No
0.8,16.2,0,15,7,6,80,49,1022.2,1022.1,7.2,15.7,No
12.6,27.8,0,41,6,20,76,39,1022,1020.3,17.5,26.1,No
14.4,23.3,6,56,28,28,50,51,1007.7,1009,20.2,22.5,No
22.2,30.6,0,37,15,24,58,42,1016.7,1014.7,23.9,27.8,No
19,29.8,0,30,2,6,70,49,998.1,994.8,23,27.9,Yes
18.8,32.7,0,30,9,7,78,38,1018.7,1016,20.8,31.5,No
16.6,23.4,0,37,13,13,65,61,1020.4,1020,18.4,22.5,No
8.2,24.6,0,41,17,13,50,22,1017,1012.5,16.1,23.6,No
11.5,27.7,0,33,11,9,73,30,1016.4,1011.8,14.9,25.7,No
0.5,12.6,0,41,24,20,60,30,1018.2,1019.4,7,12,No
13.1,20.2,1.6,31,9,13,80,71,1015.1,1012.6,16.3,19.7,No
17.1,27.2,0,33,17,20,81,69,1019.8,1017.3,23.2,25.2,No
14.4,24.9,1.2,26,13,15,68,52,1025.3,1022.1,20.5,24.2,No
8.3,18.4,8.6,70,24,24,70,82,1016.8,1013.1,15.2,15.3,Yes
13.1,29.6,0,26,11,7,42,18,1014.6,1012.4,18.7,27.8,No
13.5,28.3,0,31,0,15,73,46,1017.6,1014.1,23.2,26.3,No
18.6,20.6,27.8,54,30,39,94,84,1014.6,1012.8,19,20.3,No
6.5,13.1,0.4,48,15,22,84,70,1020.5,1013.9,9.8,12.2,Yes
16.7,37.2,0,56,24,31,17,12,1012.2,1007.3,28.9,34.9,No
16.7,24.6,0,57,6,24,51,36,1009.2,1003.6,18.5,23.9,No
4.4,19,2,57,6,35,87,32,1011.5,1008.3,10.7,17.5,Yes
8.6,17.2,2,41,22,22,64,50,1020.8,1020.6,12,15.9,No
10.8,21.4,0,56,9,28,65,59,1017,1019.5,16,16.2,No
23.2,30.4,5.4,43,17,24,75,67,1013.9,1011.7,27,28.3,Yes
10.4,20.5,1,48,0,13,72,55,1023.8,1021,17.1,20,No
4.5,13,22.2,76,37,41,75,44,1002.4,1005,6.9,12.5,No
4.3,23.4,0,37,19,11,64,30,1030.3,1026.6,12.7,22.4,No
18.9,24.5,0,22,6,13,64,50,1019.4,1017.8,21.2,22.4,No
10.4,19.9,0.2,19,6,6,76,56,1015.2,1012.7,14.3,19.6,No
12.9,15.9,1,63,26,28,99,79,1016.7,1016.4,13.3,14.9,Yes
12.7,20.3,1,39,20,24,99,60,1012.1,1013.6,16.3,18.8,No
9,15.2,0,28,6,15,100,91,1015.2,1014.7,11.1,13.8,Yes
8.4,16.3,0,30,0,22,67,65,1030.8,1027.5,13.3,14.6,No
14,36.9,0,41,6,15,37,12,1011.1,1007.7,21.8,35.4,No
18.6,36,0,33,22,13,50,18,1012.2,1008.8,23.1,33.6,No
6.9,24.5,0,41,9,11,40,27,1026.4,1024.5,17.1,23.5,No
16.4,29,0,37,17,28,53,51,1019.5,1015.3,23.9,27.1,No
16.9,22.5,0.2,44,17,22,75,67,1023.9,1022.6,18.2,19.8,No
3.8,18.8,0,52,20,30,66,41,1031.1,1026.9,12.9,17.6,No
6.3,21.7,0.2,19,6,9,99,42,1024.2,1020.5,9.4,20.9,No
9.4,23.7,0.2,22,4,7,72,32,1024.4,1020.1,14.7,23.2,No
15,23.9,0.4,52,13,17,79,35,1020.8,1016.9,18.5,23.7,No
-0.8,15,0,19,0,9,99,49,1030.1,1026.7,1.1,14.5,No
16,22,0,39,13,28,58,69,1020.2,1019.9,20.2,18.5,No
6.6,13.7,8.8,43,9,30,87,55,1005.4,1010.2,9.9,12.3,No
2.2,19.5,0,44,20,19,48,31,1021,1019.4,10.6,17.8,No
-3.1,16.9,0,39,2,26,83,35,1020,1016.1,3.7,16.1,No
8.9,17.4,8,13,2,4,99,58,1021,1017.5,11.3,16.5,No
2.6,22.6,0,22,9,9,61,28,1032.8,1028.4,13.9,22.2,No
21.3,37.9,0,37,6,19,50,21,1008.1,1003.9,26.5,36.4,No
21.7,31.2,0,33,15,19,60,56,1014.7,1011.9,29.4,29.2,No
14.4,23.9,0,37,19,22,73,59,1019.6,1018,16.6,22.2,No
-3.5,11.9,0,22,2,7,74,40,1021.4,1020.3,3.2,11.2,No
2.3,15.9,0.2,20,0,9,99,65,1013.8,1015.6,5.4,15.7,No
15.2,20.2,0.8,59,22,26,73,70,1025.6,1023.9,18.4,19,Yes
3.3,13.7,0.8,33,17,20,63,49,1028,1027,8.9,12.9,No
11.9,32.8,0,30,9,20,79,34,1019.4,1015.9,19.5,31.5,No
4.1,17.3,8.6,35,15,6,53,35,1017,1013.1,9.9,16.9,No
5.8,23.9,0,24,6,4,36,17,1023.3,1018.2,15.3,23.3,No
11.7,19.2,16,41,11,22,59,52,1021.6,1020.9,16,18.4,Yes
3.8,12.5,0.2,46,35,24,71,69,1031.4,1029.2,7.3,10.2,No
11.1,16.6,3.2,57,7,19,87,86,1019.4,1014.5,12.8,13.9,Yes
9.4,25.4,1.4,20,6,7,87,43,1020.6,1017.4,13,24.3,No
9.5,21.8,0,37,11,22,44,25,1014.6,1011,14.9,20,No
12.2,27,0,31,9,11,60,27,1017.3,1013,16.8,24.8,No
26,33.8,0,33,9,20,62,46,1012.5,1007.6,30.2,32.8,No
19.1,27.6,0,52,30,31,54,63,1016.9,1014,25.7,25.4,No
9.9,15.4,31.8,57,17,20,100,65,1013.8,1013.9,10.1,13.5,Yes
23.5,29,22.2,43,17,20,91,96,1011.6,1009.4,25.8,25.2,Yes
6.4,19.8,0,31,11,13,85,41,1020.6,1018.5,11.1,19.3,No
14,28,0,46,35,22,54,45,1020.4,1015.7,21.5,25.4,No
10.8,21.6,0,41,17,30,51,63,1021.3,1020.1,16.9,17.3,No
6.6,21.5,0,44,15,26,59,22,1019.7,1015.4,11,21.1,No
7.2,19.3,0,39,28,15,58,42,1025.3,1020.2,13.2,18.7,No
9.9,18.1,0,70,31,39,42,35,1013.4,1011.5,13.5,16.8,No
15.6,22.8,20.2,28,4,6,92,66,1013.2,1011.8,17.4,21.9,Yes
9.3,16.7,0,43,11,30,58,61,1021,1021.2,12.6,16.1,No
24.1,28.1,0,39,13,17,66,70,1014.3,1011.5,26.7,26.4,Yes
1,13.7,0,67,11,39,46,82,1016.9,1015.2,9.6,10.3,Yes
18.4,36.2,0,65,2,17,73,34,1012.8,1010,24,33.6,No
2.6,17.1,0.1,26,6,13,93,53,1029.5,1026.6,7.5,16.7,No
7.3,13.1,9.2,57,15,20,89,59,1016.7,1020.5,8.6,12.3,No
19.9,34.3,0,35,22,7,70,33,1012.5,1010,21.8,31.7,No
17,30.6,0,48,24,20,36,20,1015.8,1011.8,21.5,29.2,No
9.5,12.3,0,48,20,22,54,48,1018.2,1016.5,10.3,11.9,No
4.8,16.9,0,52,17,26,38,31,1018.1,1017.9,11.6,15.9,No
13.8,17.2,9,54,26,26,96,87,1006.2,1009.1,14.2,15.4,Yes
-1.7,12.2,0,20,4,11,72,64,1021.1,1017,6.1,10.8,Yes
7,13.5,0,43,24,22,82,55,1019.5,1017.6,9.5,12.8,No
4.3,21,0,20,9,9,79,38,1028.5,1025,10.9,20.3,No
24.6,33.5,22,67,13,28,76,67,1008,1004.5,29,32.5,Yes
27.4,40.4,0,72,24,9,64,31,1007.9,1001.4,32,39.5,Yes
3.8,14.6,0.2,70,35,43,69,41,1008.6,1010,9.6,13.2,No
7.7,18.3,0,24,11,9,97,64,1028.4,1025.8,10.6,17,No
10.9,17.6,23.6,44,28,30,59,54,1015.9,1017.2,15.2,16.3,No
3.8,16.1,0,44,7,24,60,43,1017.9,1016.8,11.4,15.6,No
21.3,26,7.2,37,20,19,95,74,1017.1,1014.2,22.3,25.6,Yes
7,15,0,28,9,9,81,87,1014.3,1012.2,11.8,13.6,Yes
20.5,33.1,0,46,22,26,42,21,1013.3,1009.2,25,33,No
4.8,23.6,0,63,6,30,86,78,1014.1,1013.8,14.8,14.4,Yes
24.4,32.5,0,43,15,11,69,77,1010.4,1006.5,29.7,30,Yes
10.3,18.5,0,61,17,31,74,79,1012.7,1009.6,15.8,15.6,Yes
1.7,16,0.6,37,6,24,77,63,1026,1024.9,7.4,15.2,No
19.6,28.1,1,54,17,31,71,80,1009.7,1005.9,22.7,23.9,Yes
11.3,17.1,5,33,9,9,100,94,1023.6,1020.9,13,16.5,Yes
20.7,29.6,0.2,37,13,7,71,56,1018.9,1017,21.8,27.1,No
2.3,13.2,0,19,0,6,100,68,1035,1032.2,6.1,11.3,No
8.2,14.5,0.2,48,22,33,69,64,1025.7,1024.9,11.6,12.2,No
23,33.7,0,52,17,28,41,29,1008.7,1004.3,25.4,33.2,Yes
15.8,29,0,37,4,24,78,45,1014.1,1011.9,19.9,26.7,No
20,33.6,0,48,19,20,44,29,1016.4,1012.5,25.2,32.2,No
13.2,22.5,3.8,31,11,13,69,47,1011.8,1009.8,16.9,20.8,No
13.1,23.1,0,35,17,6,64,35,1016.3,1014.2,14.1,21.9,No
6.1,25.8,0,54,7,30,83,22,1011.4,1008.1,11.8,24.5,No
7.6,15.6,0,52,26,26,89,64,1021.5,1019.6,11.7,15.1,Yes
24.3,29.3,0,30,17,7,83,89,1015,1013.2,27.4,27.1,Yes
21.7,33.6,0,37,19,22,58,23,1015.4,1011.8,27.3,32.9,No
17,21.7,3.6,39,13,20,88,93,1023.4,1020.4,19.4,19.2,Yes
13.2,23.8,0,35,13,17,64,59,1010.5,1007.7,20.4,22.8,No
8.8,15.5,2.4,41,24,22,78,63,1021.3,1021.9,12.6,13.7,No
6.3,19,0,24,6,2,76,73,1013.8,1011.9,12.9,14,Yes
6.9,16.4,0,57,30,35,57,66,1009.5,1011.1,13.6,12.6,Yes
9.8,13.4,9.2,24,13,9,72,60,1019.6,1016.5,11.2,12.4,No
16.1,33.1,0,39,17,17,42,12,1016.7,1013.4,22.8,32.1,No
8.8,12.3,0,70,24,35,60,55,1009.1,1008.5,9.3,10.9,Yes
17.3,22.8,0,26,13,15,63,61,1016.9,1016.2,21.3,21.6,No
3.3,21.1,0,48,15,35,71,56,1022.7,1015.1,12.3,20.4,Yes
10.1,15.7,4.2,30,0,4,89,80,1024.7,1022.9,12.5,14.9,Yes
24.2,30.8,0,33,15,24,69,55,1010.9,1007.7,28.7,29.8,No
14.3,19.1,1.2,39,22,22,53,59,1023.9,1022.6,16.9,17.9,No
8.8,12.6,1.4,20,7,7,80,74,1023.3,1024.1,10,12.1,No
6.5,25.1,0,30,9,11,76,38,1023.2,1020.9,12,23,No
23.1,37.1,0,54,37,31,43,26,1012.6,1008.3,28.4,36,No
6.7,15.5,0.4,39,13,11,84,62,1023.4,1021.1,10.2,14.2,No
18,35,0,56,33,24,66,21,1015.6,1011.2,24,34,Yes
15.8,24.7,0,31,11,24,73,63,1011.4,1007.8,21.4,23.5,No
12,23,0,41,15,19,72,70,1018.7,1017.4,17.2,19.8,No
9.6,16.1,1.4,35,6,24,78,58,1028.3,1026.4,13.3,15,No
7.6,28.5,0,46,6,19,69,15,1030.5,1025.9,16.2,27.6,No
7.4,29.3,1,35,4,24,47,26,1011.8,1009,18.4,28.5,No
